SNR_{in},SNR_{out}
0.1,1.1167
0.3,1.895
0.5,2.1124
0.7,2.2351
0.9,2.316
1.1,2.3744
1.5,2.4657
1.9,2.5114
2.1,2.5527
2.5,2.5032
2.9,2.5593
3.0,2.5621
