SNR_{in},SNR_{out}
0.1,0.9149
0.3,0.9916
0.5,1.0081
0.7,1.0271
0.9,1.0138
1.1,1.0209
1.5,1.0193
1.9,1,0213
2.1,1.0229
2.5,1.0181
2.9,1.0202
3.0,1.0201
