SNR_{in},SNR_{out}
0.2,3.9808
0.5,11.1466
0.8,13.6484
1.0,16.5936
1.3,18.889
1.6,23.2473
1.9,24.3314
2.2,24.9963
2.5,26.9554
2.8,27.951
3.0,29.7736
