SNR_in,SNR_out
0.2,4.3000
0.3,6.3272
0.4,9.6601
0.5,15.9597
0.6,17.7991
0.7,16.4042
0.8,22.0797
0.9,19.2157
1.0,24.6461
1.1,19.4356
1.2,31.5858
1.3,28.5323
1.4,35.8436
1.5,28.0059
1.6,33.6807
1.7,35.9647
1.8,38.4936
1.9,40.2836
2.0,51.6985
2.1,58.6445
2.2,61.1972
2.3,71.3951
2.4,78.5973
2.5,53.6569
2.6,53.8779
2.7,78.4603
2.8,87.4698
2.9,89.8262
3.0,98.4637
