SNR_{in},SNR_{out}
0.2,3.9808
0.5,7.1364
0.8,10.2323
1.0,12.8602
1.3,14.8341
1.6,19.6691
1.9,18.976
2.2,21.0165
2.5,23.8579
2.8,24.7976
3.0,25.7825
