SNR_in,SNR_out
0.2,0.8071
0.3,0.9989
0.4,1.5949
0.5,1.4161
0.6,3.1491
0.7,4.1090
0.8,3.6224
0.9,2.8474
1.0,4.2887
1.1,3.1943
1.2,4.2840
1.3,4.6089
1.4,3.8611
1.5,5.3813
1.6,9.1612
1.7,8.9218
1.8,13.2418
1.9,14.7977
2.0,15.0777
2.1,20.4144
2.2,15.7883
2.3,23.9095
2.4,24.9264
2.5,24.4488
2.6,21.7319
2.7,29.8671
2.8,29.0701
2.9,29.9222
3.0,31.4351
