SNR_{in},SNR_{out}
0.2,2.1394
0.5,5.1397
0.8,7.9533
1.0,9.2874
1.3,10.6212
1.6,12.3531
1.9,15.134
2.2,17.0636
2.5,18.9606
2.8,19.696
3.0,20.9596
