p,s14,s15,s16,s17,s18,s19,s20
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.805130560129305,1.797497685497043,1.7988170619237376,1.8037638418582518,1.8945463305147854,1.8750481067029878,1.8599100845068746
3,2.4672955857943646,2.448348417607934,2.4516141263967257,2.4638932864821284,2.699484236541766,2.6471866670737456,2.607241038391103
4,3.021469124400153,2.9895953859182733,2.9950759453919784,3.0157320184339635,3.4276358798411386,3.3335614044927575,3.262742805162704
5,3.4920775934053925,3.446774494640817,3.4545483689280787,3.4839068587256254,4.089488476966528,3.9477095862705616,3.8423611401422844
6,3.896697256822548,3.838060704687136,3.848105032744167,3.8861034882312593,4.6937026547191065,4.5004618598983726,4.358551914711857
7,4.2482982227669215,4.176742062429883,4.188980969339771,4.23535094965039,5.2474935347131435,5.000586497359191,4.821186331413308
8,4.556660564728587,4.472758746717345,4.487090248733996,4.5414596092232955,5.7569202318973804,5.45525798562826,5.238188278296564
