N,p(N)
10,5.867710
10,5.210982
10,7.319177
10,5.468525
10,6.209804
10,5.842089
10,5.930700
10,6.526367
10,4.636695
10,8.345919

N  10
p(N)  8.345919
X  -2.099428e-01
